id,coin,pair,channel_name,best_ask_price,best_ask_whole_lot_volume,best_ask_lot_volume,best_bid_price,best_bid_whole_lot_volume,best_bid_lot_volume,close_price,close_lot_volume,volume_today,volume_last_24h,vwap_today,vwap_last_24h,number_of_trades_today,number_of_trades_last_24h,low_price_today,low_price_last_24h,high_price_today,high_price_last_24h,open_price_today,open_price_last_24h,received_at
2251799813685314,XBT,XBT/USD,ticker,68347.70000000,14,14.84642484,68347.60000000,0,0.07676014,68347.70000000,0.00500000,171.43522238,1108.98655926,68419.56638000,68500.44831000,6796,27576,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67786.40000000,2024-10-19 10:16:50
1125899906842665,XBT,XBT/USD,ticker,68402.60000000,5,5.59288748,68402.50000000,0,0.42299467,68402.50000000,0.00030669,156.21192617,1119.20410552,68427.04908000,68486.86003000,6324,27613,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67891.50000000,2024-10-19 09:30:21
1125899906842677,XBT,XBT/USD,ticker,68381.80000000,2,2.58229311,68381.70000000,0,0.01089000,68381.80000000,0.00007134,158.22256569,1116.92184886,68426.56414000,68488.86604000,6348,27565,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67840.40000000,2024-10-19 09:32:01
1125899906842710,XBT,XBT/USD,ticker,68344.30000000,0,0.00727653,68344.20000000,0,0.04677229,68343.10000000,0.00158179,163.59226279,1103.52821281,68424.01613000,68500.09588000,6620,27522,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67765.80000000,2024-10-19 09:58:22
2251799813685256,ETH,ETH/USD,ticker,2645.35000000,0,0.91883842,2645.34000000,136,136.29756304,2645.35000000,0.04710143,627.61829384,5626.61217363,2644.97623000,2644.62678000,2753,12073,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2624.90000000,2024-10-19 09:59:06
2251799813685260,ETH,ETH/USD,ticker,2645.35000000,0,0.84357264,2645.34000000,131,131.30743336,2645.35000000,0.03746360,627.69355962,5608.94200149,2644.97628000,2644.68920000,2755,12073,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2624.90000000,2024-10-19 09:59:46
1125899906842721,XBT,XBT/USD,ticker,68318.60000000,0,0.00300000,68318.50000000,10,10.92217988,68318.50000000,0.04300000,167.44102559,1107.32878427,68421.63578000,68499.50361000,6706,27591,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67759.30000000,2024-10-19 10:04:35
1125899906842728,XBT,XBT/USD,ticker,68318.60000000,0,0.00400000,68318.50000000,10,10.02367760,68318.50000000,0.05940000,168.74652559,1108.56552127,68420.83787000,68499.33571000,6713,27585,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67764.60000000,2024-10-19 10:04:48
1125899906842731,SOL,SOL/USD,ticker,154.72000000,3,3.34590000,154.71000000,443,443.45810340,154.72000000,0.19592000,16675.19456776,179293.09625892,154.71665000,154.70492000,3696,16316,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.47000000,2024-10-19 10:04:53
1125899906842658,ETH,ETH/USD,ticker,2646.29000000,0,0.70563423,2646.28000000,108,108.58652554,2646.29000000,0.05000000,621.04409569,5939.76954350,2644.96427000,2643.43954000,2708,12247,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2626.90000000,2024-10-19 09:29:27
